Phase,WBS#,구분,Task,세부Task,담당팀,담당자,우선순위,진행상태,리스크수준,예상공수(일),시작일,종료일,진행률(%),블로커/이슈,참고링크
Phase 0,1.1,사업/영업,매장 확보(인수회사 제외),PoC 매장 5곳 확보,사업팀,김민수,P0,진행 중,높음,60,2026-03-10,2026-05-09,5,영업 파이프라인 구축 필요,
Phase 0,1.2,사업/영업,프랜차이즈 영업 방안 검토,일본 프랜차이즈 시장 조사,사업팀,김민수,P1,진행 중,중간,20,2026-03-17,2026-04-11,30,,
Phase 0,1.3,사업/영업,회사 인수 검토,인수 대상 기업 리스트업,사업팀,이정호,P1,검토 중,중간,15,2026-03-10,2026-03-28,60,,
Phase 0,2.1,B2B 프로덕트,대기 서비스 기능 추가 개발,요구사항 확정,개발팀,박서준,P0,진행 중,낮음,8,2026-03-10,2026-03-19,90,,
Phase 0,2.1.1,B2B 프로덕트,일본 진입 채널 및 페이지 구현,UI/UX 설계 및 개발,개발팀,박서준,P0,진행 중,낮음,20,2026-03-20,2026-04-16,15,,
Phase 0,2.2,B2B 프로덕트,LINE 연동 개발,LINE Official Account 연동,개발팀,최유진,P0,대기 중,높음,20,2026-04-01,2026-04-28,0,LINE 파트너 승인 필요,
Phase 0,2.3,B2C 프로덕트,일본어 로컬라이제이션,앱/웹 일본어 번역,개발팀,최유진,P1,시작 전,낮음,10,2026-04-14,2026-04-25,0,,
Phase 0,2.4,B2B 프로덕트,결제 연동 (Komoju),Komoju 가입 및 연동 개발,개발팀,박서준,P0,시작 전,중간,10,2026-04-21,2026-05-02,0,,
Phase 1,3.1,인프라/시스템,일본 서비스 아키텍처 설계,클라우드 아키텍처 문서화,인프라팀,,P1,시작 전,중간,10,2026-05-04,2026-05-15,0,,
Phase 1,3.2,인프라/시스템,국내 서버 기반 초기 서비스 운영,모니터링/알림 설정,인프라팀,,P0,시작 전,낮음,5,2026-04-28,2026-05-02,0,,
Phase 1,4.1,법인설립/법무,일본 현지 법인(GK) 설립,정관 작성 및 공증,법무팀,정하늘,P0,진행 중,높음,30,2026-03-10,2026-04-18,25,의사결정 확정 필요,
Phase 1,4.2,법인설립/법무,법인 등기 및 계좌 개설,은행 계좌 개설,법무팀,정하늘,P0,대기 중,높음,20,2026-04-21,2026-05-16,0,4.1 선행 필요,
Phase 1,4.3,법인설립/법무,컴플라이언스 검토,개인정보보호법 대응,법무팀,정하늘,P1,진행 중,중간,15,2026-03-17,2026-04-04,40,,
Phase 1,5.1,장비/물류,태블릿/거치대 조달,일본 물류 파트너 선정,운영팀,,P2,시작 전,낮음,10,2026-05-18,2026-05-29,0,,
Phase 2,6.1,고객센터/운영,CS 매뉴얼 일본어 번역,FAQ/매뉴얼 작성,운영팀,,P1,시작 전,낮음,10,2026-05-04,2026-05-15,0,,
Phase 2,6.2,고객센터/운영,일본 CS 운영 체계 수립,CS 프로세스 설계,운영팀,,P1,시작 전,중간,15,2026-05-18,2026-06-05,0,,
Phase 2,7.1,운영지원,일본 사업자등록/세무 설정,세무사 선정,법무팀,,P1,시작 전,중간,10,2026-05-04,2026-05-15,0,,
Phase 2,8.1,조직/인력,현지 인력 채용 계획,채용 공고 작성,인사팀,,P2,시작 전,중간,20,2026-06-01,2026-06-26,0,,
Phase 2,3.3,인프라/시스템,일본 리전 서버 구축,AWS Tokyo 리전 설정,인프라팀,,P2,시작 전,높음,40,2026-06-01,2026-07-24,0,10~16주 소요 예상,
